Isolate,District,Date
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10027_EMLK,WesternUrban,19-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12181_EMLH,WesternUrban,23-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10038_EMLK,WesternUrban,20-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_PL4330R,PortLoko,05-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_14830_EMLK,Kambia,27-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C2_KT5249,WesternUrban,22-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77594_EMLK,WesternUrban,04-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12851_EMLH,WesternUrban,15-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2104_C1_MK2449,Unknown,26-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-2208_C1_MK0549R2,Bombali,27-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0507_C1_PL4248,PortLoko,03-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0507_C1_PL4249,PortLoko,03-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C1_PL5001,PortLoko,19-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0208_C1_77673_EMLK,WesternUrban,08-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_10023_EMLK,WesternUrban,19-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_12178_EMLH,WesternUrban,22-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL4119,PortLoko,28-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_15274_EMLK,Kambia,04-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0205_C2_PL5868,Kambia,06-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1007_C2_MK1014,Bombali,10-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C2_15543_EMLK,Kambia,22-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1507_C2_MK0363,Unknown,21-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_705_EMLH,Unknown,09-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10084_EMLK,Unknown,22-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77574_EMLK,WesternRural,03-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_405_EMLH,Unknown,24-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2104_C1_MK2364,Unknown,24-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2104_C1_MK2365,Unknown,25-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2104_C1_MK2367,Unknown,25-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2104_C1_MK2362,Unknown,24-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12193_EMLH,WesternUrban,23-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL8429,PortLoko,24-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C1_13247_EMLH,Unknown,19-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10247_EMLK,Unknown,02-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1105_C1_MK2673,Bombali,03-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10040_EMLK,WesternUrban,20-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C2_KT5542,Unknown,20-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL4804,PortLoko,15-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_75727_EMLH,WesternUrban,16-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_75789_EMLH,Koinadugu,20-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C1_18538_EMLH,WesternUrban,04-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_14750_EMLK,Kambia,20-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C2_762_EMLH,Unknown,12-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C1_MK1040,Bombali,11-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2605_C2_PL7136b,PortLoko,18-May-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C2_19560R_EMLK,Kambia,07-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1706_C1_PL7792,PortLoko,09-Jun-2015
